id,name,price,url,rating,review_count,brand_name,suitable_type,ingredients,sentiment,first_sentence
1,Moisturizing Butter Cream Body Wash,$30.00,https://credobeauty.com/products/moisturizing-butter-cream-body-wash,5,32,54 Thrones,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",,
2,Barrier Repair Cloud Cream,$36.00,https://credobeauty.com/products/barrier-repair-cloud-cream,4.8,71,54 Thrones,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'all skin']","['repair', 'anti-aging', 'sun protection', 'moisture', 'alcohol']",80% positive,"Rich, rich cream."
3,Ugandan Vanilla + Ethiopian Honey Beauty Butter,$24.00,https://credobeauty.com/products/ugandan-vanilla-ethiopian-honey-beauty-butter,4.9,62,54 Thrones,"['dry skin', 'all skin']","['moisture', 'antioxidants']",,
4,Kenyan Hibiscus + Moroccan Rose Beauty Butter,$24.00,https://credobeauty.com/products/kenyan-hibiscus-moroccan-rose-beauty-butter,4.5,20,54 Thrones,"['dry skin', 'all skin']","['moisture', 'antioxidants']",100% positive,I absolutely love this body butter  it is super rich and moisturizing especially for a.
5,Egyptian Lavender + Moroccan Mint Beauty Butter,$24.00,https://credobeauty.com/products/egyptian-lavender-moroccan-mint-beauty-butter,No rating,34,54 Thrones,"['dry skin', 'all skin']","['moisture', 'antioxidants']",80% positive,"Smells delicious, very rich Great to put on before bed."
6,Age-Defying and Illuminating Duo,$175.00,https://credobeauty.com/products/age-defying-and-illuminating-duo,4,1,African Botanics,"['dry skin', 'acne-prone skin', 'aging skin', 'all skin']",[],100% positive,Super hydr.
7,African Botanics Pure Marula Oil,$100.00,https://credobeauty.com/products/african-botanics-pure-marula-oil-1,5,1,African Botanics,"['dry skin', 'normal skin', 'sensitive skin', 'aging skin', 'all skin']",['antioxidants'],100% positive,Love this product.
8,African Botanics Baobab Clay Oxygenating Cleanser,$70.00,https://credobeauty.com/products/african-botanics-baobab-clay-oxygenating-cleanser,5,3,African Botanics,['all skin'],"['repair', 'anti-aging', 'moisture', 'fragrance', 'exfoliating']",100% positive,Got a free sample of this from Credo alongside another purchase and fell in love.
9,African Botanics Resurrection Cell Recovery Serum,$160.00,https://credobeauty.com/products/african-botanics-resurrection-cell-recovery-serum,5,2,African Botanics,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'brightening', 'moisture', 'fragrance', 'exfoliating']",50% positive,"If this is the same formula as the green bottle, this is a great retin."
10,African Botanics Neroli Infused Marula Oil,$120.00,https://credobeauty.com/products/african-botanics-neroli-infused-marula-oil-1,5,2,African Botanics,"['dry skin', 'oily skin', 'normal skin', 'combination skin', 'acne-prone skin', 'all skin']","['alcohol', 'fragrance', 'antioxidants']",100% positive,My drycombination loves this Marula Neroli oil.
11,African Botanics Bio-Active Botanical Eye Cream,$120.00,https://credobeauty.com/products/african-botanics-bio-active-botanical-eye-cream,4.3,3,African Botanics,['all skin'],[],67% positive,This is my first bottle of this eye cream.
12,African Botanics Phyto-Collagen Restorative Cream,$175.00,https://credobeauty.com/products/african-botanics-phyto-collagen-restorative-cream,5,2,African Botanics,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'moisture', 'alcohol', 'exfoliating']",100% positive,The texture on my skin has improved so much.
13,African Botanics Vita C Corrector,$140.00,https://credobeauty.com/products/african-botanics-vita-c-corrector,4,1,African Botanics,"['dry skin', 'sensitive skin', 'all skin']","['moisture', 'antioxidants', 'brightening']",0% positive,Product container is very poor.
14,African Botanics Niacinamide Plumping Booster,$100.00,https://credobeauty.com/products/african-botanics-niacinamide-plumping-booster,5,1,African Botanics,"['dry skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'brightening', 'moisture', 'exfoliating']",100% positive,Perfect serum.
15,African Botanics Silver Rescue Serum,$160.00,https://credobeauty.com/products/african-botanics-silver-rescue-serum,No rating,No reviews,African Botanics,"['sensitive skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating']",,
16,African Botanics Eye Contour Gel-Serum,$170.00,https://credobeauty.com/products/african-botanics-eye-contour-gel-serum,No rating,No reviews,African Botanics,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating']",,
17,African Botanics Retinal Night Cream,$200.00,https://credobeauty.com/products/african-botanics-retinal-night-cream,No rating,No reviews,African Botanics,"['acne-prone skin', 'aging skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'alcohol', 'exfoliating', 'brightening']",,
18,African Botanics Silver Rescue Cream,$175.00,https://credobeauty.com/products/african-botanics-silver-rescue-cream,No rating,No reviews,African Botanics,"['dry skin', 'acne-prone skin', 'sensitive skin', 'all skin']","['moisture', 'alcohol', 'antioxidants']",,
19,African Botanics Intense Skin Repair Balm,$160.00,https://credobeauty.com/products/african-botanics-intense-skin-repair-balm,5,1,African Botanics,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin']",[],100% positive,The best deep moisturizer I have ever used.
20,African Botanics Lucent Pearl Booster,$100.00,https://credobeauty.com/products/african-botanics-lucent-pearl-booster,5,2,African Botanics,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating']",100% positive,Great compliment to my skincare routine.
21,Lucent Pearl Booster,$100.00,https://credobeauty.com/products/lucent-pearl-booster,3.8,5,African Botanics,"['dry skin', 'all skin']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'exfoliating']",80% positive,So far its very hydrating and brightening.
22,Cloudburst Micro-Emulsion Balancing Moisturizer,$150.00,https://credobeauty.com/products/african-botanics-cloudburst-micro-emulsion-balancing-moisturizer,4.7,3,African Botanics,"['dry skin', 'oily skin', 'combination skin', 'acne-prone skin', 'sensitive skin']","['repair', 'anti-aging', 'antioxidants', 'brightening', 'moisture', 'exfoliating']",67% positive,"The smell is botanical and refreshing, and the color is a beautiful blue due to."
23,Renew & Glow Body Polish,$42.00,https://credobeauty.com/products/renew-glow-body-polish,No rating,10,Alo,['dry skin'],"['moisture', 'repair', 'fragrance', 'exfoliating']",,
24,Magic Multi-Balm,$48.00,https://credobeauty.com/products/magic-multi-balm,No rating,14,Alo,"['dry skin', 'acne-prone skin']","['moisture', 'sun protection']",100% positive,"Luscious scent Love this for removing makeup and as a deep, overnight moisturizer."
25,Shine Shampoo,$24.00,https://credobeauty.com/products/shine-shampoo,No rating,No reviews,Alo,['all hair'],"['anti-aging', 'antioxidants', 'moisture', 'fragrance']",,
26,Shine Conditioner,$24.00,https://credobeauty.com/products/shine-conditioner,4.9,22,Alo,['all hair'],"['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance']",,
27,Lasting Lip Balm,$12.00,https://credobeauty.com/products/lasting-lip-balm,4.1,19,Alo,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'fragrance']",80% positive,This lip balm feels amazing on and keeps lips hydrated all day with just 3.
28,Supernatural Deodorant - Scented,$18.00,https://credobeauty.com/products/supernatural-deodorant-scented,4.4,17,Alo,[],"['fragrance', 'sun protection']",,
29,Daily SPF 20 Face Moisturizer,$38.00,https://credobeauty.com/products/daily-spf-face-moisturizer,No rating,8,Alo,['all skin'],"['moisture', 'alcohol', 'fragrance', 'anti-aging']",80% positive,"It can feel a little thick coming out of the tube, but absorbs well once it."
30,Mega-C Body Wash,$24.00,https://credobeauty.com/products/mega-c-body-wash,4.8,57,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'fragrance', 'antioxidants']",,
31,Radiance Facial Serum,$68.00,https://credobeauty.com/products/radiance-facial-serum,3.5,4,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'antioxidants']",,
32,Luminizing Facial Moisturizer,$48.00,https://credobeauty.com/products/luminizing-facial-moisturizer,4.6,14,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['moisture', 'fragrance', 'anti-aging']",100% positive,This is my new go to nightly moisturizer.
33,Magnesium Reset Mist,$48.00,https://credobeauty.com/products/magnesium-reset-mist,No rating,26,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'fragrance']",100% positive,One of my holy grail products.
34,Super Fruit Body Lotion,$28.00,https://credobeauty.com/products/super-fruit-body-lotion,4.5,28,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'antioxidants', 'moisture', 'alcohol', 'fragrance']",,
35,Head-To-Toe Glow Oil,$48.00,https://credobeauty.com/products/head-to-toe-glow-oil,4.7,21,Alo,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['fragrance', 'sun protection']",100% positive,"I love the shine in my hair, face and body."
36,Clarifying Facial Oil with Retinol & Pink Algae,$56.00,https://credobeauty.com/products/clarifying-facial-oil-with-retinol-pink-algae,4.6,5,Alpyn Beauty,['all skin'],"['anti-aging', 'antioxidants', 'sun protection', 'brightening', 'moisture', 'exfoliating']",80% positive,The Clarifying Facial Oil is not sealed and it leaked during transit.
37,Instant Bright Eye with Peptides & Niacinamide,$52.00,https://credobeauty.com/products/instant-bright-eye-with-peptides-niacinamide,No rating,116,Alpyn Beauty,['all skin'],"['repair', 'anti-aging', 'antioxidants', 'sun protection', 'moisture', 'alcohol', 'exfoliating']",80% positive,"For the price, this cant be beat."
38,Barrier Repair Cream,$62.00,https://credobeauty.com/products/super-peptide-ghostberry-barrier-repair-cream,No rating,170,Alpyn Beauty,"['dry skin', 'sensitive skin', 'all skin']","['repair', 'anti-aging', 'moisture', 'alcohol']",,
39,Wild Huckleberry Radiance Recovery Peel,$56.00,https://credobeauty.com/products/wild-huckleberry-radiance-recovery-peel,5,20,Alpyn Beauty,"['sensitive skin', 'all skin']","['sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
40,Pore Perfecting Liquid with 2% BHA + Borage,$39.00,https://credobeauty.com/products/pore-perfecting-liquid-with-2-bha-borage,4.8,147,Alpyn Beauty,"['oily skin', 'combination skin', 'all skin']","['anti-aging', 'antioxidants', 'sun protection', 'brightening', 'moisture', 'alcohol', 'exfoliating']",,
41,Juneberry & Collagen Hydrating Cream Cleanser,$39.00,https://credobeauty.com/products/juneberry-collagen-hydrating-cream-cleanser,4.8,66,Alpyn Beauty,"['dry skin', 'all skin']","['moisture', 'alcohol', 'fragrance', 'brightening', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",100% positive,"My skin has never been this consistently moisturized, unblemished and toned."
42,Willow & Sweet Agave Plumping Lip Mask,$28.00,https://credobeauty.com/products/willow-sweet-agave-plumping-lip-mask,No rating,No reviews,Alpyn Beauty,['all skin'],"['antioxidants', 'sun protection', 'moisture', 'fragrance']",,
43,Wild Nettle & Niacinamide Firming Serum,$58.00,https://credobeauty.com/products/wild-nettle-niacinamide-firming-serum,4.8,62,Alpyn Beauty,"['oily skin', 'combination skin', 'all skin']","['anti-aging', 'antioxidants', 'sun protection', 'moisture', 'exfoliating', 'brightening']",,
44,Wild Huckleberry 8-Acid Polishing Peel,From $23,https://credobeauty.com/products/wild-huckleberry-8-acid-polishing-peel,No rating,126,Alpyn Beauty,"['dry skin', 'normal skin', 'combination skin', 'sensitive skin', 'aging skin', 'all skin']","['antioxidants', 'sun protection', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
45,PlantGenius Melt Moisturizer,From $20,https://credobeauty.com/products/plantgenius-melt-moisturizer,4.6,381,Alpyn Beauty,"['dry skin', 'sensitive skin', 'aging skin', 'all skin']","['repair', 'moisture', 'alcohol', 'fragrance', 'brightening', 'exfoliating', 'anti-aging', 'antioxidants']",,
46,PlantGenius Creamy Bubbling Cleanser,$36.00,https://credobeauty.com/products/plantgenius-creamy-bubbling-cleanser,No rating,201,Alpyn Beauty,"['dry skin', 'sensitive skin', 'all skin']","['repair', 'antioxidants', 'brightening', 'moisture', 'alcohol', 'fragrance', 'exfoliating']",,
47,PlantGenius Line-Filling Eye Balm with Bakuchiol,$62.00,https://credobeauty.com/products/plantgenius-line-filling-eye-balm,No rating,331,Alpyn Beauty,"['dry skin', 'aging skin', 'all skin']","['repair', 'moisture', 'alcohol', 'brightening', 'exfoliating', 'anti-aging', 'antioxidants', 'sun protection']",,
48,The System,$100.00,https://credobeauty.com/products/the-system,No rating,No reviews,Arey,['all hair'],"['moisture', 'repair', 'anti-aging', 'exfoliating']",,
49,Calm It Down Scalp Repair,$40.00,https://credobeauty.com/products/calm-it-down-scalp-repair,4.5,2,Arey,['all hair'],"['repair', 'anti-aging', 'moisture', 'fragrance', 'exfoliating']",50% positive,Soothing scalp serum does what it says.
50,Mend Leave-In Conditioner,$40.00,https://credobeauty.com/products/mend-leave-in-conditioner,4.6,16,Arey,"['damaged hair', 'all hair']","['repair', 'anti-aging', 'antioxidants', 'moisture', 'alcohol', 'fragrance', 'brightening']",,
51,The Arey Travel Kit,$44.00,https://credobeauty.com/products/the-arey-travel-kit,No rating,No reviews,Arey,"['damaged hair', 'dry hair', 'all hair']","['repair', 'anti-aging', 'moisture', 'alcohol', 'fragrance']",,
52,Scrub Scalp Exfoliant,$44.00,https://credobeauty.com/products/scrub-scalp-exfoliant,4.1,27,Arey,['all hair'],"['anti-aging', 'moisture', 'fragrance', 'exfoliating']",,
53,To The Root Serum,$55.00,https://credobeauty.com/products/to-the-root-serum,No rating,No reviews,Arey,['all hair'],"['moisture', 'repair', 'anti-aging', 'exfoliating']",,
54,Live In Mist Leave-In Conditioner,$36.00,https://credobeauty.com/products/live-in-mist,4.7,41,Arey,"['damaged hair', 'dry hair', 'all hair']","['repair', 'moisture', 'alcohol', 'fragrance']",60% positive,"The combination of protein, alcohol and Cetrimonium Chloride was REALLY."
55,"Not Today, Grey Supplement",$46.00,https://credobeauty.com/products/not-today-grey-supplement,No rating,479,Arey,['all hair'],[],,
