id,product_id,product_name,brand_name,username,rating,title,body,time,location
1,182,"01 ""Taunt"" Massage Candle",DedCool,Ronda T.,5.0,Great soothing scent,Nice and soothing scent. I’ve enjoyed burning it.,11/06/24,"Frisco, TX"
2,706,10-Second Eye Gel Watercolor Eyeshadow,Kosas,Jeanine J.,5.0,Eye gel eyeshadow,Goes on easily and stays put,11/18/24,Arizona
3,706,10-Second Eye Gel Watercolor Eyeshadow,Kosas,Nina,5.0,,"This is a great little product! The 10-second name refers to the application - swipe it on and wait ten seconds, then buff out with a brush. I like it! Heat is a very pretty color.",11/09/24,No location
4,706,10-Second Eye Gel Watercolor Eyeshadow,Kosas,Jordan S.,5.0,Quick and easy,"Love this for a quick, natural daytime eye",09/20/24,Brooklyn NY
5,706,10-Second Eye Gel Watercolor Eyeshadow,Kosas,Genevieve M.,4.0,Easy as promised!,"Love the color and the ease of application, the only thing I wish was different was the staying power.",09/07/24,NYC
6,706,10-Second Eye Gel Watercolor Eyeshadow,Kosas,Julie M.,5.0,I have three colors and,I have three colors and reach for them daily. They blend like a dream and with primer last all day.,08/31/24,"Saint Cloud, FL"
7,1086,11:11 Eye Shadow Palette,RÓEN Beauty,L,5.0,Romantic,This is a beautiful and versatile palette. Very feminine. It wears pretty well for a cream product. It only creases after a very long day.,07/20/24,No location
8,1086,11:11 Eye Shadow Palette,RÓEN Beauty,Martha G.,4.0,Beautiful colors for everyday or,Beautiful colors for everyday or a little more sparkle for special occasions. Goes on smoothly with a finger. Nice compact size and quality packaging.,07/01/24,CT
9,1086,11:11 Eye Shadow Palette,RÓEN Beauty,Jill B.,5.0,Love these pallets. This is,Love these pallets. This is my third one.,04/13/24,South Carolina
10,1086,11:11 Eye Shadow Palette,RÓEN Beauty,Nicole W.,4.0,These are really pretty and,These are really pretty and so fun. They do not rate clean on the Yuka app,01/07/24,Idaho
11,1086,11:11 Eye Shadow Palette,RÓEN Beauty,Pei-Jung L.,5.0,Beautiful and sophisticated.,Beautiful and sophisticated.,11/13/23,No location
12,319,Glossed Up Duo,Exa,Sara G.,5.0,Best Glosses for a Natural Look,"These glosses are lightweight, not sticky and leave a nice whisper of color on my lips after. The Lover is beautiful raspberry and The Optimist is an equally beautiful translucent red. I love to wear them alone for day and over a stain for evening. Often I’m complimented on and asked what lip product",11/27/24,"New York, NY"
13,319,Glossed Up Duo,Exa,Cyndi B.,4.0,Nice colors,"Great colors & looks great, wish they lasted longer.",11/23/24,"Sf Bay Area, east bay"
14,319,Glossed Up Duo,Exa,Mia W.,5.0,Pretty!,"These are great colors and I love this product. Not sticky, great applicator and the shine lasts. I highly recommend!",11/14/24,San Francisco
15,319,Glossed Up Duo,Exa,Amy s.,5.0,Fabulous,I love this lip oil. My lips feel so soft and smooth after using and it’s a great tint.,10/24/24,Nashville
16,1288,24 Hour Serum,Uni,Heather B.,5.0,"Absorbs quickly, non greasy feel","Loving this lightweight moisturizer, it absorbs easily and has a non greasy feel, and my skin feels smooth after.",11/26/24,No location
17,1288,24 Hour Serum,Uni,Allysa O.,5.0,Love this serum!,Love the texture and smell of this serum. Skin feels so good! I'm on the drier side so I like to use this under a thicker body lotion to lock in all the moisture. I'm on my third bottle and will keep this in my routine.,11/23/24,"Los Angeles, CA"
18,1288,24 Hour Serum,Uni,Sara J.,5.0,Amazing,"Light, super moisturizing, and the smell is to die for.",11/22/24,San Francisco
19,1288,24 Hour Serum,Uni,Lili L.,5.0,Body serum,"This us my second bottle. I have liked the hydration it gives. I don't get ""the glow"" the advertisements claim. More like a matt look.",11/21/24,Texas
20,1288,24 Hour Serum,Uni,Madison M.,5.0,Lotion,Really nice lotion. Spendy but worth it!,11/21/24,Lexington KY
21,1038,3 Drop Weightless Serum Foundation,Rituel de Fille,Dana R.,5.0,Moist and Dewy!,This is a great foundation! It keeps my face moist and dewy and doesn’t dry out! I’ve had so many compliments when I wear it 😊I just bought my second bottle so that tells you something!,11/20/24,Los Angeles
22,1038,3 Drop Weightless Serum Foundation,Rituel de Fille,Angela M.,5.0,Fabulous!,"Sorrel in the soho store introduced me to these drops and they are amazing. Very hydrating, the perfect color and leaves such a dewy finish.",10/26/24,NYC
23,1038,3 Drop Weightless Serum Foundation,Rituel de Fille,Sarah R.,5.0,RItuel De Fille foundation,Best foundation! Doesn't settle into creases and is long lasting. Goes really well with the concealer. A little goes a very long way!,10/24/24,"Chicago, IL"
24,1038,3 Drop Weightless Serum Foundation,Rituel de Fille,Sandy K.,5.0,Weightless serum foundation,The best foundation I ever had,10/20/24,Plano.texas
25,1038,3 Drop Weightless Serum Foundation,Rituel de Fille,Lauren F.,5.0,Love,I love this foundation and especially how lightweight and comfortable it feels on my face.,10/12/24,No location
26,255,360 Eye and Lip Contour,Evolve Organic Beauty,Marie-Elena R.,1.0,Too drying,Was drying around my eyes and irritaing effect around my lips- had to stop using,02/03/24,ORE
27,255,360 Eye and Lip Contour,Evolve Organic Beauty,Caro,2.0,Not a winner for me. Brand is incredible though,"I LOVE this brand. The masks, and creams are genuinely amazing. This product delivered zero results. Stick with this brand, but I’d skip this product.",07/05/23,New York
28,255,360 Eye and Lip Contour,Evolve Organic Beauty,Caro,1.0,Disappointed by my favourite brand. Big miss with this prodycy,"I love every product I’ve purchased from this brand, however this product Is really unimpressive. I mostly bought it for the lip/ mouth area, but honestly; I’ve seen zero results for either area. Their gold mask is probably my favorite mask of all time. I really support this brand, but not a product",05/17/23,No location
29,255,360 Eye and Lip Contour,Evolve Organic Beauty,Fiala,4.0,dont get how its countor,good otherwise,05/15/23,No location
30,255,360 Eye and Lip Contour,Evolve Organic Beauty,Lynne,5.0,Soothing for sensitive crepey eyelids,"I've been 've been using this cream for a few years on my eye and lip areas, I do have some lines under and around my eyes as I'm creeping towards 50 but I think they are less noticeable than they could be. I have sensitive skin and have experimented in the past with well known commercial brands around",04/14/23,No location
31,1187,5-in-1 Tinted Moisturizing Face Sunscreen,Suntegrity,Lindsay,5.0,Holy Grail Tinted Moisturizer,"This is my favorite tinted moisturizer ever! I have repurchased for many years now, one tube lasts me nearly 6 months and I apply almost every day. I have acne prone combination skin, and this product does a great job actually soaking into my skin, not emphasizing dry patches too much, and not getting",11/23/24,Oakland CA
32,1187,5-in-1 Tinted Moisturizing Face Sunscreen,Suntegrity,Julia F.,5.0,Love this for every day use,I love the light coverage this provides while being moisturizing and working as a sunscreen. My absolute go to- can’t live without it.,11/22/24,Boston ma
33,1187,5-in-1 Tinted Moisturizing Face Sunscreen,Suntegrity,Samantha F.,5.0,Love it!,"I’ve been looking for an SPF to go under my makeup and I love this one! It has sheer coverage but I have light skin with some redness so I feel I need a little more! However, you could also use this alone if you don’t need a lot of coverage! Goes on very smooth and dries pretty quick! I’ll definitely",11/16/24,"Miami, FL."
34,1187,5-in-1 Tinted Moisturizing Face Sunscreen,Suntegrity,Jenny F.,5.0,Favorite sunscreen,I love this face sunscreen. It applies nice and has a natural finish,11/13/24,No location
35,1187,5-in-1 Tinted Moisturizing Face Sunscreen,Suntegrity,Moni,5.0,Love the formula,This product give you medium to full coverage. It provides a nice and comfortable glow to skin. Perfect for every day and even for social events. I got my 50+ mom hooked onto this. She prefers fuller coverage products and loves this.,10/31/24,TX
36,1189,Moisturizing Self Tanner,Suntegrity,Dena S.,4.0,"It works really well, you","It works really well, you have to be super careful not to get streaks. And it does lean a tad bit on the orange side, which I didn't find to be too bad because it worked with my skintone",08/21/24,NYC
37,1189,Moisturizing Self Tanner,Suntegrity,Kelby K.,4.0,I appreciate that this Self,I appreciate that this Self Tanner has clean ingredients but I actually prefer their previous version which was more gradual and less streaky,08/09/24,No location
38,1189,Moisturizing Self Tanner,Suntegrity,Sabrina V.,5.0,This is a great self,"This is a great self tanner! It took a few tries to get it to go on smoothly without streaks, but I found that as long as I moisturize immediately before applying it and apply it in a circular motion, it goes on smoothly. It is buildable to quite a dark tan if you really want one, and while it reads",07/22/24,Chicago
39,1189,Moisturizing Self Tanner,Suntegrity,Kelby .,3.0,Clean Self Tanner,I loved their previous self tanner and thought it performed beautifully but this new version has more color than a gradual tanner and can be streaky. I appreciate the clean ingredients but I preferred their old version better.,07/17/24,No location
40,1189,Moisturizing Self Tanner,Suntegrity,Erica S.,3.0,very streaky,very streaky,06/23/24,NYC
41,387,72-Hour Supercharged Hydrating Water-Cream,Goop,Patricia S.,5.0,Perfect Moisturizer,"Light, smooth and creamy moisturizer that doesn’t leave you greasy/ oily. Absorbs fairly quickly after application, great for morning makeup routine.",09/28/24,"Los Angeles, California"
42,387,72-Hour Supercharged Hydrating Water-Cream,Goop,Jill J.,5.0,Moisturizing enough for my dry,"Moisturizing enough for my dry skin but absorbs well, not greasy at all. Great skin feels, no sensitivity noticed. Also not much ell to this product.",08/10/24,Iowa
43,387,72-Hour Supercharged Hydrating Water-Cream,Goop,Grace G.,5.0,GP's Goop line never disappoints.,"GP's Goop line never disappoints. I stated using this in the morning and my face feels smooth and soft for the rest of the day. It's light, non greasy and hydrating.",07/24/24,"Orange County, CA."
44,387,72-Hour Supercharged Hydrating Water-Cream,Goop,Kayle L.,3.0,"This face cream is fine,","This face cream is fine, it doesn’t seem any better than my other mid range face creams for less money. Definitely doesn’t feel like 72 hour supercharged.",06/30/24,Denver CO
45,387,72-Hour Supercharged Hydrating Water-Cream,Goop,Kate W.,4.0,I dont love it. It's,I dont love it. It's a little hard to absorb and feels quite goopy on my face. I am used to lighter moisturizers.,05/22/24,"Bay Area, CA"
46,1088,75° Warm Eye Shadow Palette,RÓEN Beauty,Margo,1.0,Not what I was expecting,"I was sooo extremely disappointed in this palette. I don’t own a lot of eye shadow. I love a gold hue or something with shimmer so I thought this would be perfect and earthy but glittery. Idk if I got a lemon, just one band product or if this is suppose to be how it is, but it’s extremely hard to pick",06/19/24,Long Beach CA
47,1088,75° Warm Eye Shadow Palette,RÓEN Beauty,Kathy H.,5.0,Lovely colors and texture. Great,Lovely colors and texture. Great for older eye tissue. Non irritating.,05/26/24,Troy MI
